# Ping Session Summary -- 2026-06-12

| Ticker | Type | Bars | Decisions | GO | Conditional | Null | First Bar | Last Bar |
|---|---|---|---|---|---|---|---|---|
| AAPL | candidate | 206 | 0 | 0 | 156 | 50 | 10:19:00 | 13:59:00 |
| ADBE | candidate | 205 | 0 | 0 | 155 | 50 | 10:19:00 | 13:59:00 |
| AMZN | candidate | 206 | 0 | 0 | 156 | 50 | 10:19:00 | 13:59:00 |
| ANET | candidate | 171 | 0 | 0 | 0 | 171 | 10:19:00 | 13:59:00 |
| ARM | candidate | 194 | 0 | 0 | 144 | 50 | 10:17:00 | 13:59:00 |
| AVGO | candidate | 206 | 0 | 0 | 156 | 50 | 10:19:00 | 13:59:00 |
| GE | candidate | 224 | 0 | 0 | 173 | 51 | 09:30:04 | 13:59:00 |
| GOOGL | candidate | 206 | 0 | 0 | 156 | 50 | 10:19:00 | 13:59:00 |
| IBM | candidate | 172 | 0 | 0 | 125 | 47 | 10:18:00 | 13:59:00 |
| LRCX | candidate | 192 | 0 | 0 | 143 | 49 | 10:19:00 | 13:59:00 |
| MAR | candidate | 160 | 0 | 0 | 77 | 83 | 10:17:00 | 13:58:00 |
| META | candidate | 205 | 0 | 0 | 153 | 52 | 10:19:00 | 13:59:00 |
| MSFT | candidate | 209 | 0 | 0 | 156 | 53 | 10:19:00 | 13:59:00 |
| MU | candidate | 211 | 0 | 0 | 158 | 53 | 10:18:00 | 13:59:00 |
| NUE | candidate | 201 | 0 | 163 | 0 | 38 | 09:30:03 | 13:57:00 |
| NVDA | candidate | 206 | 0 | 0 | 156 | 50 | 10:19:00 | 13:59:00 |
| PLTR | candidate | 206 | 0 | 0 | 156 | 50 | 10:19:00 | 13:59:00 |
| SMCI | candidate | 209 | 0 | 0 | 156 | 53 | 10:19:00 | 13:59:00 |
| SPY | etf | 156 | 0 | 0 | 0 | 156 | 05:59:00 | 08:48:00 |
| TJX | candidate | 173 | 0 | 0 | 78 | 95 | 10:17:00 | 13:59:00 |
| TSLA | candidate | 206 | 0 | 0 | 156 | 50 | 10:19:00 | 13:59:00 |
| TSM | candidate | 197 | 0 | 0 | 147 | 50 | 10:17:00 | 13:59:00 |
| XLB | etf | 31 | 0 | 0 | 0 | 31 | 05:29:00 | 08:39:00 |
| XLC | etf | 14 | 0 | 0 | 0 | 14 | 05:29:00 | 08:40:00 |
| XLE | etf | 100 | 0 | 0 | 0 | 100 | 05:56:00 | 08:48:00 |
| XLF | etf | 51 | 0 | 0 | 0 | 51 | 05:41:00 | 08:47:00 |
| XLI | etf | 30 | 0 | 0 | 0 | 30 | 05:28:00 | 08:36:00 |
| XLK | etf | 79 | 0 | 0 | 0 | 79 | 05:41:00 | 08:47:00 |
| XLP | etf | 31 | 0 | 0 | 0 | 31 | 05:38:00 | 08:47:00 |
| XLRE | etf | 14 | 0 | 0 | 0 | 14 | 05:15:00 | 08:39:00 |
| XLU | etf | 41 | 0 | 0 | 0 | 41 | 05:40:00 | 08:47:00 |
| XLV | etf | 35 | 0 | 0 | 0 | 35 | 05:29:00 | 08:45:00 |
| XLY | etf | 25 | 0 | 0 | 0 | 25 | 05:32:00 | 08:48:00 |
