# Ping Session Summary -- 2026-06-30

| Ticker | Type | Bars | Decisions | GO | Conditional | Null | First Bar | Last Bar |
|---|---|---|---|---|---|---|---|---|
| DE | candidate | 178 | 0 | 0 | 133 | 45 | 10:17:00 | 13:59:00 |
| HD | candidate | 264 | 0 | 0 | 0 | 264 | 09:30:02 | 13:59:00 |
| JNJ | candidate | 257 | 0 | 0 | 143 | 114 | 09:30:02 | 13:59:00 |
| LLY | candidate | 262 | 0 | 57 | 145 | 60 | 09:30:03 | 13:59:00 |
| SPY | etf | 148 | 0 | 0 | 0 | 148 | 05:59:00 | 08:47:00 |
| XLB | etf | 21 | 0 | 0 | 0 | 21 | 05:14:00 | 08:47:00 |
| XLC | etf | 15 | 0 | 0 | 0 | 15 | 19:50:00 | 08:32:00 |
| XLE | etf | 56 | 0 | 0 | 0 | 56 | 05:53:00 | 08:47:00 |
| XLF | etf | 35 | 0 | 0 | 0 | 35 | 05:36:00 | 08:43:00 |
| XLI | etf | 28 | 0 | 0 | 0 | 28 | 05:38:00 | 08:42:00 |
| XLK | etf | 62 | 0 | 0 | 0 | 62 | 05:37:00 | 08:48:00 |
| XLP | etf | 22 | 0 | 0 | 0 | 22 | 05:22:00 | 08:34:00 |
| XLRE | etf | 11 | 0 | 0 | 0 | 11 | 04:54:00 | 08:35:00 |
| XLU | etf | 27 | 0 | 0 | 0 | 27 | 05:50:00 | 08:43:00 |
| XLV | etf | 43 | 0 | 0 | 0 | 43 | 05:41:00 | 08:45:00 |
| XLY | etf | 18 | 0 | 0 | 0 | 18 | 05:08:00 | 08:39:00 |
