# Ping pBC Anchor -- 2026-06-18

| anchor_time | ticker | strategy_id | anchor_pbc | anchor_pbc_state | anchor_price_position | anchor_lb_slope | anchor_ub_slope | bars_used |
| 12:55 | MU | Cycle1_LongOnly | 0.0 | NEUTRAL | 2.1142 | 0.0 | 0.0 | 60 |
| 10:16 | NVDA | Cycle1_LongOnly |  |  |  |  |  | 0 |
| 10:56 | NVDA | Cycle1_LongOnly | 0.474128 | NEGATIVE_BAND_COMPRESSION | 0.7425 | -0.104257 | -0.578385 | 59 |
| 11:55 | NVDA | Cycle1_LongOnly | -0.170987 | MIXED | 0.7334 | -0.080224 | 0.090763 | 60 |
| 12:55 | NVDA | Cycle1_LongOnly | -0.198354 | MIXED | 0.9658 | -0.198354 | 0.0 | 60 |
| 10:16 | PLTR | Cycle1_LongOnly |  |  |  |  |  | 0 |
| 10:56 | PLTR | Cycle1_LongOnly | 0.271905 | MIXED | -0.389 | 0.083431 | -0.188474 | 59 |
| 11:55 | PLTR | Cycle1_LongOnly | -1.097345 | MIXED | -0.4177 | 0.0 | 1.097345 | 60 |
| 12:55 | PLTR | Cycle1_LongOnly | -0.081187 | MIXED | -0.2453 | -0.081187 | 0.0 | 60 |
| 08:56 | RTX | Cycle1_LongOnly |  |  |  |  |  | 0 |
| 10:15 | RTX | Cycle1_LongOnly | 0.321317 | MIXED | 0.539 | -3.258 | -3.579317 | 45 |
| 10:56 | RTX | Cycle1_LongOnly | -0.121069 | MIXED | 0.3412 | 0.0 | 0.121069 | 59 |
| 11:55 | RTX | Cycle1_LongOnly | 0.480209 | NEGATIVE_BAND_COMPRESSION | 0.2752 | 0.108962 | -0.371247 | 59 |
| 12:55 | RTX | Cycle1_LongOnly | -0.639343 | MIXED | 0.222 | 0.0 | 0.639343 | 60 |
| 10:16 | SMCI | Cycle1_LongOnly |  |  |  |  |  | 0 |
| 10:56 | SMCI | Cycle1_LongOnly | -0.069498 | MIXED | 0.9167 | 0.0 | 0.069498 | 59 |
| 11:55 | SMCI | Cycle1_LongOnly | 0.0 | NEUTRAL | 1.0246 | 0.0 | 0.0 | 60 |
| 12:55 | SMCI | Cycle1_LongOnly | 0.037393 | NEGATIVE_BAND_COMPRESSION | 1.1335 | 0.0 | -0.037393 | 60 |
| 10:16 | TSLA | Cycle1_LongOnly |  |  |  |  |  | 0 |
| 10:56 | TSLA | Cycle1_LongOnly | 7.528868 | NEGATIVE_BAND_COMPRESSION | -1.4616 | 0.0 | -7.528868 | 59 |
| 11:55 | TSLA | Cycle1_LongOnly | -0.497578 | MIXED | -1.3545 | -0.497578 | 0.0 | 60 |
| 12:55 | TSLA | Cycle1_LongOnly | -0.684911 | NEGATIVE_COMPRESSION | -0.9029 | 0.0 | 0.684911 | 60 |
| 10:16 | TSM | Cycle1_LongOnly | -5.316983 | MIXED | 1.1082 | -3.767324 | 1.549659 | 46 |
| 10:56 | TSM | Cycle1_LongOnly | 3.149005 | NEGATIVE_BAND_COMPRESSION | 1.2119 | -1.520639 | -4.669644 | 59 |
| 11:55 | TSM | Cycle1_LongOnly | -8.276186 | NEGATIVE_COMPRESSION | 1.2833 | 0.0 | 8.276186 | 60 |
| 12:55 | TSM | Cycle1_LongOnly | -3.535415 | MIXED | 1.3897 | -3.535415 | 0.0 | 60 |
