# Ping Session Summary -- 2026-08-27

| Ticker | Type | Bars | Decisions | GO | Conditional | Null | First Bar | Last Bar |
|---|---|---|---|---|---|---|---|---|
| AEM | candidate | 295 | 0 | 0 | 0 | 295 | 09:30:20 | 15:59:00 |
| AEM | etf | 108 | 0 | 0 | 0 | 108 | 05:54:00 | 09:58:00 |
| AEP | candidate | 148 | 0 | 0 | 0 | 148 | 12:58:00 | 15:59:00 |
| ARM | candidate | 306 | 0 | 0 | 0 | 306 | 10:17:00 | 15:59:00 |
| AU | candidate | 321 | 0 | 0 | 0 | 321 | 09:30:19 | 15:59:00 |
| AU | etf | 94 | 0 | 0 | 0 | 94 | 05:55:00 | 09:58:00 |
| BRK-B | candidate | 208 | 0 | 0 | 0 | 208 | 11:57:00 | 15:59:00 |
| CAT | candidate | 328 | 0 | 0 | 172 | 156 | 09:30:13 | 15:59:00 |
| CAT | etf | 124 | 0 | 0 | 124 | 0 | 05:54:00 | 09:58:00 |
| COST | candidate | 206 | 0 | 0 | 0 | 206 | 11:57:00 | 15:59:00 |
| DIA | candidate | 356 | 0 | 0 | 0 | 356 | 09:30:17 | 15:59:00 |
| ETR | candidate | 151 | 0 | 0 | 0 | 151 | 12:57:00 | 15:59:00 |
| FCX | candidate | 344 | 0 | 0 | 0 | 344 | 09:30:09 | 15:59:00 |
| FCX | etf | 135 | 0 | 0 | 0 | 135 | 05:53:00 | 09:58:00 |
| GE | candidate | 214 | 0 | 0 | 0 | 214 | 11:57:00 | 15:59:00 |
| GEV | candidate | 265 | 0 | 0 | 0 | 265 | 10:57:00 | 15:59:00 |
| GILD | candidate | 262 | 0 | 0 | 59 | 203 | 10:57:00 | 15:59:00 |
| GOLD | candidate | 198 | 0 | 0 | 0 | 198 | 09:30:14 | 15:59:00 |
| GOLD | etf | 44 | 0 | 0 | 0 | 44 | 05:49:00 | 09:57:00 |
| GOOGL | candidate | 332 | 0 | 0 | 158 | 174 | 10:17:00 | 15:59:00 |
| IWM | candidate | 372 | 0 | 0 | 0 | 372 | 09:30:21 | 15:59:00 |
| JPM | candidate | 214 | 0 | 0 | 55 | 159 | 11:57:00 | 15:59:00 |
| LIN | candidate | 203 | 0 | 0 | 0 | 203 | 11:57:00 | 15:59:00 |
| META | candidate | 328 | 0 | 0 | 156 | 172 | 10:17:00 | 15:59:00 |
| NEM | candidate | 332 | 0 | 0 | 0 | 332 | 09:30:21 | 15:59:00 |
| NEM | etf | 140 | 0 | 0 | 0 | 140 | 05:50:00 | 09:58:00 |
| NUE | candidate | 233 | 0 | 0 | 77 | 156 | 09:30:15 | 15:59:00 |
| NUE | etf | 41 | 0 | 0 | 41 | 0 | 05:19:00 | 09:57:00 |
| NVDA | candidate | 180 | 0 | 0 | 0 | 180 | 12:57:00 | 15:59:00 |
| PAAS | candidate | 328 | 0 | 0 | 0 | 328 | 09:30:18 | 15:59:00 |
| PAAS | etf | 94 | 0 | 0 | 0 | 94 | 05:39:00 | 09:58:00 |
| PG | candidate | 269 | 0 | 0 | 57 | 212 | 10:58:00 | 15:59:00 |
| QQQ | candidate | 377 | 0 | 0 | 0 | 377 | 09:30:04 | 15:59:00 |
| RGLD | candidate | 316 | 0 | 0 | 0 | 316 | 09:30:03 | 15:59:00 |
| RGLD | etf | 46 | 0 | 0 | 0 | 46 | 19:59:00 | 09:58:00 |
| SCCO | candidate | 263 | 0 | 0 | 0 | 263 | 09:30:10 | 15:59:00 |
| SCCO | etf | 53 | 0 | 0 | 0 | 53 | 05:30:00 | 09:57:00 |
| SHW | candidate | 249 | 0 | 0 | 59 | 190 | 10:57:00 | 15:59:00 |
| SO | candidate | 160 | 0 | 0 | 0 | 160 | 12:57:00 | 15:59:00 |
| SPY | candidate | 354 | 0 | 0 | 0 | 354 | 09:30:20 | 15:59:00 |
| SPY | etf | 204 | 0 | 0 | 0 | 204 | 05:58:00 | 09:58:00 |
| STLD | candidate | 286 | 0 | 0 | 0 | 286 | 09:30:03 | 15:59:00 |
| STLD | etf | 30 | 0 | 0 | 0 | 30 | 04:00:00 | 09:57:00 |
| UNP | candidate | 324 | 0 | 0 | 134 | 190 | 09:30:17 | 15:59:00 |
| V | candidate | 273 | 0 | 0 | 59 | 214 | 10:57:00 | 15:59:00 |
| WMT | candidate | 227 | 0 | 0 | 0 | 227 | 11:57:00 | 15:59:00 |
| XLB | candidate | 317 | 0 | 0 | 0 | 317 | 09:30:20 | 15:59:00 |
| XLB | etf | 46 | 0 | 0 | 0 | 46 | 05:29:00 | 09:57:00 |
| XLC | candidate | 327 | 0 | 0 | 0 | 327 | 09:30:16 | 15:59:00 |
| XLC | etf | 45 | 0 | 0 | 0 | 45 | 05:21:00 | 09:58:00 |
| XLE | candidate | 341 | 0 | 0 | 0 | 341 | 09:30:20 | 15:59:00 |
| XLE | etf | 136 | 0 | 0 | 0 | 136 | 05:49:00 | 09:58:00 |
| XLF | candidate | 338 | 0 | 0 | 0 | 338 | 09:30:19 | 15:59:00 |
| XLF | etf | 110 | 0 | 0 | 0 | 110 | 05:47:00 | 09:58:00 |
| XLI | candidate | 331 | 0 | 0 | 0 | 331 | 09:30:18 | 15:59:00 |
| XLI | etf | 58 | 0 | 0 | 0 | 58 | 05:02:00 | 09:58:00 |
| XLK | candidate | 336 | 0 | 0 | 0 | 336 | 09:30:21 | 15:59:00 |
| XLK | etf | 109 | 0 | 0 | 0 | 109 | 05:42:00 | 09:58:00 |
| XLP | candidate | 337 | 0 | 0 | 0 | 337 | 09:30:19 | 15:59:00 |
| XLP | etf | 70 | 0 | 0 | 0 | 70 | 05:34:00 | 09:58:00 |
| XLRE | candidate | 320 | 0 | 0 | 0 | 320 | 09:30:19 | 15:59:00 |
| XLRE | etf | 55 | 0 | 0 | 0 | 55 | 05:06:00 | 09:58:00 |
| XLU | candidate | 329 | 0 | 0 | 0 | 329 | 09:30:21 | 15:59:00 |
| XLU | etf | 82 | 0 | 0 | 0 | 82 | 05:37:00 | 09:58:00 |
| XLV | candidate | 336 | 0 | 0 | 0 | 336 | 09:30:21 | 15:59:00 |
| XLV | etf | 101 | 0 | 0 | 0 | 101 | 05:44:00 | 09:58:00 |
| XLY | candidate | 332 | 0 | 0 | 0 | 332 | 09:30:20 | 15:59:00 |
| XLY | etf | 51 | 0 | 0 | 0 | 51 | 05:20:00 | 09:58:00 |
