# Ping Session Summary -- 2026-07-09

| Ticker | Type | Bars | Decisions | GO | Conditional | Null | First Bar | Last Bar |
|---|---|---|---|---|---|---|---|---|
| AAPL | candidate | 223 | 0 | 0 | 160 | 63 | 10:17:00 | 13:59:00 |
| BRK-B | candidate | 218 | 0 | 0 | 96 | 122 | 10:17:00 | 13:59:00 |
| C | candidate | 223 | 0 | 0 | 0 | 223 | 10:17:00 | 13:59:00 |
| CAT | candidate | 119 | 0 | 0 | 0 | 119 | 11:58:00 | 13:59:00 |
| DIA | candidate | 268 | 0 | 0 | 0 | 268 | 09:30:13 | 13:59:00 |
| GE | candidate | 121 | 0 | 0 | 0 | 121 | 11:58:00 | 13:59:00 |
| GEV | candidate | 180 | 0 | 0 | 60 | 120 | 10:57:00 | 13:59:00 |
| GOOGL | candidate | 183 | 0 | 0 | 120 | 63 | 10:57:00 | 13:59:00 |
| IWM | candidate | 270 | 0 | 0 | 0 | 270 | 09:30:13 | 13:59:00 |
| JPM | candidate | 223 | 0 | 0 | 160 | 63 | 10:17:00 | 13:59:00 |
| META | candidate | 182 | 0 | 0 | 60 | 122 | 10:57:00 | 13:59:00 |
| MPC | candidate | 235 | 0 | 0 | 0 | 235 | 09:30:03 | 13:59:00 |
| PSX | candidate | 220 | 0 | 0 | 0 | 220 | 09:30:01 | 13:58:00 |
| QQQ | candidate | 270 | 0 | 0 | 0 | 270 | 09:30:01 | 13:59:00 |
| SHW | candidate | 107 | 0 | 0 | 49 | 58 | 11:59:00 | 13:59:00 |
| SPY | candidate | 246 | 0 | 0 | 0 | 246 | 09:30:13 | 13:59:00 |
| SPY | etf | 212 | 0 | 0 | 0 | 212 | 05:59:00 | 09:58:00 |
| V | candidate | 221 | 0 | 0 | 98 | 123 | 10:17:00 | 13:59:00 |
| VLO | candidate | 246 | 0 | 0 | 0 | 246 | 09:30:04 | 13:59:00 |
| XLB | candidate | 242 | 0 | 0 | 0 | 242 | 09:30:11 | 13:59:00 |
| XLB | etf | 70 | 0 | 0 | 0 | 70 | 04:54:00 | 09:58:00 |
| XLC | candidate | 241 | 0 | 0 | 0 | 241 | 09:30:13 | 13:59:00 |
| XLC | etf | 91 | 0 | 0 | 0 | 91 | 04:36:00 | 09:58:00 |
| XLE | candidate | 242 | 0 | 0 | 0 | 242 | 09:30:12 | 13:59:00 |
| XLE | etf | 146 | 0 | 0 | 0 | 146 | 05:49:00 | 09:58:00 |
| XLF | candidate | 241 | 0 | 0 | 0 | 241 | 09:30:11 | 13:59:00 |
| XLF | etf | 104 | 0 | 0 | 0 | 104 | 05:55:00 | 09:58:00 |
| XLI | candidate | 244 | 0 | 0 | 0 | 244 | 09:30:08 | 13:59:00 |
| XLI | etf | 64 | 0 | 0 | 0 | 64 | 05:25:00 | 09:58:00 |
| XLK | candidate | 241 | 0 | 0 | 0 | 241 | 09:30:11 | 13:59:00 |
| XLK | etf | 129 | 0 | 0 | 0 | 129 | 05:38:00 | 09:58:00 |
| XLP | candidate | 241 | 0 | 0 | 0 | 241 | 09:30:12 | 13:59:00 |
| XLP | etf | 96 | 0 | 0 | 0 | 96 | 05:20:00 | 09:58:00 |
| XLRE | candidate | 221 | 0 | 0 | 0 | 221 | 09:30:04 | 13:59:00 |
| XLRE | etf | 39 | 0 | 0 | 0 | 39 | 05:13:00 | 09:57:00 |
| XLU | candidate | 243 | 0 | 0 | 0 | 243 | 09:30:09 | 13:59:00 |
| XLU | etf | 73 | 0 | 0 | 0 | 73 | 05:34:00 | 09:58:00 |
| XLV | candidate | 242 | 0 | 0 | 0 | 242 | 09:30:11 | 13:59:00 |
| XLV | etf | 104 | 0 | 0 | 0 | 104 | 05:41:00 | 09:58:00 |
| XLY | candidate | 243 | 0 | 0 | 0 | 243 | 09:30:12 | 13:59:00 |
| XLY | etf | 68 | 0 | 0 | 0 | 68 | 05:36:00 | 09:58:00 |
