# Ping Weekly Archive -- 2026-W22

| Session Date | Ticker | Type | Bars | Decisions |
|---|---|---|---|---|
| 2026-05-25 | AAPL | candidate | 1 | 0 |
| 2026-05-25 | GE | candidate | 1 | 0 |
| 2026-05-25 | SPY | etf | 1 | 0 |
| 2026-05-25 | XLB | etf | 1 | 0 |
| 2026-05-25 | XLC | etf | 1 | 0 |
| 2026-05-25 | XLE | etf | 1 | 0 |
| 2026-05-25 | XLF | etf | 1 | 0 |
| 2026-05-25 | XLI | etf | 1 | 0 |
| 2026-05-25 | XLK | etf | 1 | 0 |
| 2026-05-25 | XLP | etf | 1 | 0 |
| 2026-05-25 | XLRE | etf | 1 | 0 |
| 2026-05-25 | XLU | etf | 1 | 0 |
| 2026-05-25 | XLV | etf | 1 | 0 |
| 2026-05-25 | XLY | etf | 1 | 0 |
| 2026-05-26 | AAPL | candidate | 183 | 0 |
| 2026-05-26 | GE | candidate | 87 | 0 |
| 2026-05-26 | SPY | etf | 167 | 0 |
| 2026-05-26 | XLB | etf | 15 | 0 |
| 2026-05-26 | XLC | etf | 14 | 0 |
| 2026-05-26 | XLE | etf | 138 | 0 |
| 2026-05-26 | XLF | etf | 59 | 0 |
| 2026-05-26 | XLI | etf | 31 | 0 |
| 2026-05-26 | XLK | etf | 105 | 0 |
| 2026-05-26 | XLP | etf | 22 | 0 |
| 2026-05-26 | XLRE | etf | 17 | 0 |
| 2026-05-26 | XLU | etf | 76 | 0 |
| 2026-05-26 | XLV | etf | 51 | 0 |
| 2026-05-26 | XLY | etf | 22 | 0 |
| 2026-05-27 | AMAT | candidate | 41 | 0 |
| 2026-05-27 | AMD | candidate | 41 | 0 |
| 2026-05-27 | FCX | candidate | 182 | 0 |
| 2026-05-27 | GE | candidate | 183 | 0 |
| 2026-05-27 | LRCX | candidate | 41 | 0 |
| 2026-05-27 | SPY | etf | 169 | 0 |
| 2026-05-27 | XLB | etf | 16 | 0 |
| 2026-05-27 | XLC | etf | 9 | 0 |
| 2026-05-27 | XLE | etf | 119 | 0 |
| 2026-05-27 | XLF | etf | 55 | 0 |
| 2026-05-27 | XLI | etf | 28 | 0 |
| 2026-05-27 | XLK | etf | 110 | 0 |
| 2026-05-27 | XLP | etf | 25 | 0 |
| 2026-05-27 | XLRE | etf | 14 | 0 |
| 2026-05-27 | XLU | etf | 59 | 0 |
| 2026-05-27 | XLV | etf | 41 | 0 |
| 2026-05-27 | XLY | etf | 20 | 0 |
| 2026-05-28 | AAPL | candidate | 41 | 0 |
| 2026-05-28 | AMZN | candidate | 206 | 0 |
| 2026-05-28 | MAR | candidate | 76 | 0 |
| 2026-05-28 | MU | candidate | 41 | 0 |
| 2026-05-28 | SPY | etf | 166 | 0 |
| 2026-05-28 | TSLA | candidate | 144 | 0 |
| 2026-05-28 | XLB | etf | 11 | 0 |
| 2026-05-28 | XLC | etf | 9 | 0 |
| 2026-05-28 | XLE | etf | 100 | 0 |
| 2026-05-28 | XLF | etf | 35 | 0 |
| 2026-05-28 | XLI | etf | 13 | 0 |
| 2026-05-28 | XLK | etf | 66 | 0 |
| 2026-05-28 | XLP | etf | 30 | 0 |
| 2026-05-28 | XLRE | etf | 4 | 0 |
| 2026-05-28 | XLU | etf | 38 | 0 |
| 2026-05-28 | XLV | etf | 30 | 0 |
| 2026-05-28 | XLY | etf | 21 | 0 |
| 2026-05-29 | AAPL | candidate | 87 | 0 |
| 2026-05-29 | AMD | candidate | 41 | 0 |
| 2026-05-29 | AMZN | candidate | 41 | 0 |
| 2026-05-29 | AVGO | candidate | 87 | 0 |
| 2026-05-29 | GILD | candidate | 226 | 0 |
| 2026-05-29 | MU | candidate | 87 | 0 |
| 2026-05-29 | SPY | etf | 168 | 0 |
| 2026-05-29 | XLB | etf | 9 | 0 |
| 2026-05-29 | XLC | etf | 11 | 0 |
| 2026-05-29 | XLE | etf | 109 | 0 |
| 2026-05-29 | XLF | etf | 41 | 0 |
| 2026-05-29 | XLI | etf | 17 | 0 |
| 2026-05-29 | XLK | etf | 84 | 0 |
| 2026-05-29 | XLP | etf | 22 | 0 |
| 2026-05-29 | XLRE | etf | 13 | 0 |
| 2026-05-29 | XLU | etf | 50 | 0 |
| 2026-05-29 | XLV | etf | 35 | 0 |
| 2026-05-29 | XLY | etf | 15 | 0 |
| 2026-05-30 | AAPL | candidate | 1 | 0 |
| 2026-05-30 | AMD | candidate | 1 | 0 |
| 2026-05-30 | AVGO | candidate | 1 | 0 |
| 2026-05-30 | MSFT | candidate | 1 | 0 |
| 2026-05-30 | MU | candidate | 1 | 0 |
| 2026-05-31 | AAPL | candidate | 1 | 0 |
| 2026-05-31 | AMD | candidate | 1 | 0 |
| 2026-05-31 | AVGO | candidate | 1 | 0 |
| 2026-05-31 | MSFT | candidate | 1 | 0 |
| 2026-05-31 | MU | candidate | 1 | 0 |
