# Ping Weekly Archive -- 2026-W37

| Session Date | Ticker | Type | Bars | Decisions |
|---|---|---|---|---|
| 2026-09-07 | ANET | etf | 1 | 0 |
| 2026-09-07 | ARM | etf | 1 | 0 |
| 2026-09-07 | CAT | etf | 1 | 0 |
| 2026-09-07 | COST | etf | 1 | 0 |
| 2026-09-07 | IBM | etf | 1 | 0 |
| 2026-09-07 | INTC | etf | 1 | 0 |
| 2026-09-07 | SLB | etf | 1 | 0 |
| 2026-09-07 | SMCI | etf | 1 | 0 |
| 2026-09-07 | SPY | etf | 1 | 0 |
| 2026-09-07 | TSM | etf | 1 | 0 |
| 2026-09-07 | XLB | etf | 1 | 0 |
| 2026-09-07 | XLC | etf | 1 | 0 |
| 2026-09-07 | XLE | etf | 1 | 0 |
| 2026-09-07 | XLF | etf | 1 | 0 |
| 2026-09-07 | XLI | etf | 1 | 0 |
| 2026-09-07 | XLK | etf | 1 | 0 |
| 2026-09-07 | XLP | etf | 1 | 0 |
| 2026-09-07 | XLRE | etf | 1 | 0 |
| 2026-09-07 | XLU | etf | 1 | 0 |
| 2026-09-07 | XLV | etf | 1 | 0 |
| 2026-09-07 | XLY | etf | 1 | 0 |
| 2026-09-07 | XME | etf | 1 | 0 |
| 2026-09-08 | AEP | candidate | 335 | 0 |
| 2026-09-08 | ANET | etf | 47 | 0 |
| 2026-09-08 | ARM | candidate | 242 | 0 |
| 2026-09-08 | ARM | etf | 181 | 0 |
| 2026-09-08 | CAT | candidate | 301 | 0 |
| 2026-09-08 | CAT | etf | 46 | 0 |
| 2026-09-08 | DIA | candidate | 386 | 0 |
| 2026-09-08 | ETR | candidate | 335 | 0 |
| 2026-09-08 | GE | candidate | 302 | 0 |
| 2026-09-08 | GEV | candidate | 299 | 0 |
| 2026-09-08 | GOOGL | candidate | 302 | 0 |
| 2026-09-08 | INTC | candidate | 362 | 0 |
| 2026-09-08 | INTC | etf | 236 | 0 |
| 2026-09-08 | IWM | candidate | 390 | 0 |
| 2026-09-08 | JNJ | candidate | 182 | 0 |
| 2026-09-08 | LIN | candidate | 301 | 0 |
| 2026-09-08 | META | candidate | 242 | 0 |
| 2026-09-08 | MPC | candidate | 312 | 0 |
| 2026-09-08 | NUE | candidate | 273 | 0 |
| 2026-09-08 | PSX | candidate | 314 | 0 |
| 2026-09-08 | QQQ | candidate | 390 | 0 |
| 2026-09-08 | SHW | candidate | 292 | 0 |
| 2026-09-08 | SLB | candidate | 363 | 0 |
| 2026-09-08 | SLB | etf | 36 | 0 |
| 2026-09-08 | SMCI | candidate | 362 | 0 |
| 2026-09-08 | SMCI | etf | 108 | 0 |
| 2026-09-08 | SO | candidate | 343 | 0 |
| 2026-09-08 | SPY | candidate | 362 | 0 |
| 2026-09-08 | SPY | etf | 167 | 0 |
| 2026-09-08 | TSM | candidate | 362 | 0 |
| 2026-09-08 | TSM | etf | 92 | 0 |
| 2026-09-08 | XLB | candidate | 364 | 0 |
| 2026-09-08 | XLB | etf | 33 | 0 |
| 2026-09-08 | XLC | candidate | 366 | 0 |
| 2026-09-08 | XLC | etf | 30 | 0 |
| 2026-09-08 | XLE | candidate | 362 | 0 |
| 2026-09-08 | XLE | etf | 111 | 0 |
| 2026-09-08 | XLF | candidate | 366 | 0 |
| 2026-09-08 | XLF | etf | 55 | 0 |
| 2026-09-08 | XLI | candidate | 364 | 0 |
| 2026-09-08 | XLI | etf | 33 | 0 |
| 2026-09-08 | XLK | candidate | 363 | 0 |
| 2026-09-08 | XLK | etf | 43 | 0 |
| 2026-09-08 | XLP | candidate | 364 | 0 |
| 2026-09-08 | XLP | etf | 44 | 0 |
| 2026-09-08 | XLRE | candidate | 367 | 0 |
| 2026-09-08 | XLRE | etf | 29 | 0 |
| 2026-09-08 | XLU | candidate | 362 | 0 |
| 2026-09-08 | XLU | etf | 53 | 0 |
| 2026-09-08 | XLV | candidate | 363 | 0 |
| 2026-09-08 | XLV | etf | 48 | 0 |
| 2026-09-08 | XLY | candidate | 363 | 0 |
| 2026-09-08 | XLY | etf | 34 | 0 |
| 2026-09-09 | AAPL | candidate | 341 | 0 |
| 2026-09-09 | ABBV | candidate | 334 | 0 |
| 2026-09-09 | AMD | candidate | 362 | 0 |
| 2026-09-09 | AMD | etf | 114 | 0 |
| 2026-09-09 | AMZN | candidate | 340 | 0 |
| 2026-09-09 | BRK-B | candidate | 340 | 0 |
| 2026-09-09 | CAT | candidate | 334 | 0 |
| 2026-09-09 | COP | candidate | 360 | 0 |
| 2026-09-09 | COP | etf | 40 | 0 |
| 2026-09-09 | CVX | candidate | 359 | 0 |
| 2026-09-09 | CVX | etf | 53 | 0 |
| 2026-09-09 | DIA | candidate | 387 | 0 |
| 2026-09-09 | EOG | candidate | 354 | 0 |
| 2026-09-09 | EOG | etf | 22 | 0 |
| 2026-09-09 | FCX | candidate | 359 | 0 |
| 2026-09-09 | FCX | etf | 56 | 0 |
| 2026-09-09 | GE | candidate | 340 | 0 |
| 2026-09-09 | INTC | etf | 232 | 0 |
| 2026-09-09 | IWM | candidate | 390 | 0 |
| 2026-09-09 | JNJ | candidate | 338 | 0 |
| 2026-09-09 | JPM | candidate | 340 | 0 |
| 2026-09-09 | LLY | candidate | 332 | 0 |
| 2026-09-09 | MPC | candidate | 366 | 0 |
| 2026-09-09 | MRK | candidate | 242 | 0 |
| 2026-09-09 | MSFT | candidate | 343 | 0 |
| 2026-09-09 | MU | candidate | 362 | 0 |
| 2026-09-09 | MU | etf | 122 | 0 |
| 2026-09-09 | NEM | candidate | 338 | 0 |
| 2026-09-09 | NUE | candidate | 279 | 0 |
| 2026-09-09 | NVDA | candidate | 303 | 0 |
| 2026-09-09 | PG | candidate | 339 | 0 |
| 2026-09-09 | PLTR | candidate | 343 | 0 |
| 2026-09-09 | QQQ | candidate | 390 | 0 |
| 2026-09-09 | SLB | candidate | 359 | 0 |
| 2026-09-09 | SLB | etf | 36 | 0 |
| 2026-09-09 | SMCI | etf | 182 | 0 |
| 2026-09-09 | SPY | candidate | 362 | 0 |
| 2026-09-09 | SPY | etf | 183 | 0 |
| 2026-09-09 | STLD | candidate | 226 | 0 |
| 2026-09-09 | TSLA | candidate | 301 | 0 |
| 2026-09-09 | TSM | candidate | 362 | 0 |
| 2026-09-09 | TSM | etf | 136 | 0 |
| 2026-09-09 | UNH | candidate | 340 | 0 |
| 2026-09-09 | V | candidate | 340 | 0 |
| 2026-09-09 | XLB | candidate | 369 | 0 |
| 2026-09-09 | XLB | etf | 30 | 0 |
| 2026-09-09 | XLC | candidate | 369 | 0 |
| 2026-09-09 | XLC | etf | 25 | 0 |
| 2026-09-09 | XLE | candidate | 362 | 0 |
| 2026-09-09 | XLE | etf | 108 | 0 |
| 2026-09-09 | XLF | candidate | 362 | 0 |
| 2026-09-09 | XLF | etf | 57 | 0 |
| 2026-09-09 | XLI | candidate | 368 | 0 |
| 2026-09-09 | XLI | etf | 31 | 0 |
| 2026-09-09 | XLK | candidate | 362 | 0 |
| 2026-09-09 | XLK | etf | 48 | 0 |
| 2026-09-09 | XLP | candidate | 362 | 0 |
| 2026-09-09 | XLP | etf | 51 | 0 |
| 2026-09-09 | XLRE | candidate | 360 | 0 |
| 2026-09-09 | XLRE | etf | 31 | 0 |
| 2026-09-09 | XLU | candidate | 363 | 0 |
| 2026-09-09 | XLU | etf | 41 | 0 |
